,movimiento_id,buque_id,matricula,radar_id,muelle,tipo_carga,origen,fecha_ingreso,hora_ingreso,fecha_egreso,hora_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,estado_despacho,duracion_hora,exceso_velocidad_real,exceso_velocidad
577,MOV-00670,B-001,CMAROSARIO,R-08,MUELLEB,GRANOS,VALPARAISO,2024-10-21,1900-01-01 16:55:00,2024-10-22,1900-01-01 00:41:00,4182.22,12.2,10,PENDIENTE,0 days 07:46:00,2.1999999999999993,1.6999999999999993
579,MOV-00673,B-026,CMAROSARIO,R-06,MUELLEC,MAIZ,SANTA FE,2020-06-23,1900-01-01 00:00:00,2020-06-25,1900-01-01 02:22:00,7118.7,14.4,10,EN_REVISION,2 days 02:22:00,4.4,3.9000000000000004
581,MOV-00677,B-017,MSCALPHA,R-05,MUELLEF,CONTENEDORES,BUENOS AIRES,2022-08-28,1900-01-01 00:29:00,2022-08-29,1900-01-01 18:04:00,5556.49,13.2,10,RECHAZADO,1 days 17:35:00,3.1999999999999993,2.6999999999999993
584,MOV-00682,B-038,MAERSKLIMA,R-01,MUELLEA,SOJA,BUENOS AIRES,2023-04-02,1900-01-01 02:24:00,2023-04-03,1900-01-01 02:38:00,6573.54,15.7,10,EN_REVISION,1 days 00:14:00,5.699999999999999,5.199999999999999
586,MOV-00684,B-002,ONEPARANA,R-05,MUELLEF,GRANOS,BUENOS AIRES,2022-04-25,1900-01-01 13:01:00,2022-04-28,1900-01-01 17:22:00,5586.76,16.9,12,EN_REVISION,3 days 04:21:00,4.899999999999999,4.299999999999997
593,MOV-00692,B-012,COSCOSTAR,R-03,MUELLEC,HARINA,SAO PAULO,2024-11-02,1900-01-01 00:07:00,2024-11-04,1900-01-01 17:40:00,6679.2,14.4,10,EN_REVISION,2 days 17:33:00,4.4,3.9000000000000004
599,MOV-00700,B-003,YANGESTE,R-08,MUELLEB,TRIGO,ROTTERDAM,2024-04-02,1900-01-01 23:53:00,2024-04-05,1900-01-01 06:49:00,6202.11,16.3,12,DESPACHADO,2 days 06:56:00,4.300000000000001,3.6999999999999993
600,MOV-00701,B-031,EVERGLORY,R-04,MUELLEA,MINERALES,SHANGHAI,2024-12-24,1900-01-01 14:18:00,2024-12-25,1900-01-01 14:17:00,6461.58,11.5,10,EN_REVISION,0 days 23:59:00,1.5,1.0
603,MOV-00704,B-039,CMALITORAL,R-08,MUELLEF,ACEITE,SHANGHAI,2023-12-13,1900-01-01 00:15:00,2023-12-15,1900-01-01 10:14:00,6268.7,16.9,15,EN_REVISION,2 days 09:59:00,1.8999999999999986,1.1499999999999986
607,MOV-00709,B-028,YANGMING,R-01,MUELLED,MINERALES,SHANGHAI,2023-01-22,1900-01-01 00:42:00,2023-01-22,1900-01-01 00:00:00,5143.23,11.5,10,RECHAZADO,,1.5,1.0
608,MOV-00710,B-013,ZIMDELTA,R-04,MUELLEB,GRANOS,MONTEVIDEO,2023-08-28,1900-01-01 10:22:00,2023-08-28,1900-01-01 02:24:00,4783.57,12.7,12,PENDIENTE,,0.6999999999999993,0.09999999999999787
610,MOV-00712,B-032,COSCOTIGRE,R-04,MUELLEA,MINERALES,HAMBURG,2020-01-31,1900-01-01 12:11:00,2020-02-02,1900-01-01 03:57:00,4176.01,10.7,10,EN_REVISION,1 days 15:46:00,0.6999999999999993,0.1999999999999993
615,MOV-00719,B-030,HAPAGSUR,R-01,MUELLEC,CONTENEDORES,VALPARAISO,2024-08-28,1900-01-01 00:00:00,2024-08-30,1900-01-01 00:00:00,6399.0,14.9,12,RECHAZADO,2 days 00:00:00,2.9000000000000004,2.299999999999999
616,MOV-00720,B-013,MAERSKPAMPAS,R-02,MUELLEA,HARINA,VALPARAISO,2024-01-05,1900-01-01 03:24:00,2024-01-07,1900-01-01 23:02:00,5988.46,11.4,10,DESPACHADO,2 days 19:38:00,1.4000000000000004,0.9000000000000004
617,MOV-00721,B-003,PILSANTA,R-07,MUELLEA,MINERALES,SHANGHAI,2020-06-26,1900-01-01 15:39:00,2020-06-27,1900-01-01 10:11:00,6227.19,14.2,10,EN_REVISION,0 days 18:32:00,4.199999999999999,3.6999999999999993
619,MOV-00723,B-021,PILOESTE,R-01,MUELLEA,TRIGO,HAMBURG,2022-09-27,1900-01-01 20:40:00,2022-09-30,1900-01-01 09:41:00,4905.74,15.2,12,DESPACHADO,2 days 13:01:00,3.1999999999999993,2.599999999999998
623,MOV-00727,B-036,MAERSKPAMPAS,R-02,MUELLEE,CONTENEDORES,HAMBURG,2024-04-10,1900-01-01 02:25:00,1900-01-01,1900-01-01 22:37:00,4319.91,13.1,10,DESPACHADO,,3.0999999999999996,2.5999999999999996
627,MOV-00732,B-035,MSCGENOVA,R-07,MUELLEE,SOJA,ROTTERDAM,2020-09-28,1900-01-01 00:35:00,2020-09-28,1900-01-01 19:23:00,5642.44,15.0,12,DESPACHADO,0 days 18:48:00,3.0,2.3999999999999986
629,MOV-00735,B-032,ZIMDELTA,R-06,MUELLEC,CONTENEDORES,ROTTERDAM,2022-05-26,1900-01-01 01:24:00,2022-05-28,1900-01-01 13:17:00,8053.38,12.0,10,PENDIENTE,2 days 11:53:00,2.0,1.5
636,MOV-00742,B-032,MAERSKPAMPAS,R-01,MUELLED,CONTENEDORES,MONTEVIDEO,2023-11-17,1900-01-01 15:26:00,2023-11-19,1900-01-01 00:00:00,4823.77,13.0,10,PENDIENTE,1 days 08:34:00,3.0,2.5
640,MOV-00747,B-001,HAPAGSUR,R-08,MUELLEC,ACEITE,VALPARAISO,2024-11-03,1900-01-01 17:43:00,2024-11-04,1900-01-01 23:09:00,3156.75,12.6,10,EN_REVISION,1 days 05:26:00,2.5999999999999996,2.0999999999999996
644,MOV-00751,B-022,COSCOTIGRE,,MUELLEB,MAIZ,SHANGHAI,2021-10-06,1900-01-01 22:26:00,2021-10-09,1900-01-01 09:06:00,6186.97,14.9,10,PENDIENTE,2 days 10:40:00,4.9,4.4
645,MOV-00752,B-005,EVERGREEN02,R-06,MUELLEA,SOJA,SHANGHAI,2023-10-23,1900-01-01 23:40:00,2023-10-24,1900-01-01 13:50:00,4810.76,11.0,10,PENDIENTE,0 days 14:10:00,1.0,0.5
649,MOV-00757,B-026,YANGMING,R-04,MUELLEB,MAIZ,MONTEVIDEO,2020-09-19,1900-01-01 15:28:00,2020-09-22,1900-01-01 15:53:00,6925.5,11.8,10,RECHAZADO,3 days 00:25:00,1.8000000000000007,1.3000000000000007
653,MOV-00761,B-011,CMAROSARIO,R-04,MUELLEE,HARINA,HAMBURG,2020-11-26,1900-01-01 10:25:00,2020-11-29,1900-01-01 05:06:00,6176.84,17.6,15,EN_REVISION,2 days 18:41:00,2.6000000000000014,1.8500000000000014
656,MOV-00764,B-027,ONEPLATA,R-03,MUELLEC,GRANOS,SHANGHAI,2020-08-06,1900-01-01 04:11:00,2020-08-07,1900-01-01 17:22:00,,13.4,12,DESPACHADO,1 days 13:11:00,1.4000000000000004,0.7999999999999989
660,MOV-00770,B-024,MSCALPHA,R-05,MUELLED,GRANOS,ROTTERDAM,2021-03-26,1900-01-01 20:30:00,2021-03-27,1900-01-01 03:33:00,5120.67,15.3,10,PENDIENTE,0 days 07:03:00,5.300000000000001,4.800000000000001
663,MOV-00774,B-027,HAPAGSUR,R-06,MUELLED,CONTENEDORES,SAO PAULO,2024-06-27,1900-01-01 15:28:00,2024-06-29,1900-01-01 20:00:00,4031.66,15.9,10,PENDIENTE,2 days 04:32:00,5.9,5.4
664,MOV-00775,B-015,ONEPLATA,R-05,MUELLEF,HARINA,VALPARAISO,2021-03-04,1900-01-01 03:04:00,2021-03-05,1900-01-01 14:14:00,3725.69,19.9,15,DESPACHADO,1 days 11:10:00,4.899999999999999,4.149999999999999
665,MOV-00776,B-039,COSCOSTAR,R-01,MUELLEE,MINERALES,HAMBURG,2021-04-20,1900-01-01 20:19:00,2021-04-22,1900-01-01 00:17:00,2627.11,10.6,10,RECHAZADO,1 days 03:58:00,0.5999999999999996,0.09999999999999964
673,MOV-00785,B-021,COSCOSTAR,R-02,MUELLEC,TRIGO,ROTTERDAM,2024-06-26,1900-01-01 00:31:00,2024-06-26,1900-01-01 15:10:00,4283.04,11.6,10,RECHAZADO,0 days 14:39:00,1.5999999999999996,1.0999999999999996
674,MOV-00786,B-005,EVERGREEN02,R-05,MUELLEB,TRIGO,SANTA FE,2021-01-13,1900-01-01 16:27:00,2021-01-15,1900-01-01 03:07:00,5750.18,12.4,10,RECHAZADO,1 days 10:40:00,2.4000000000000004,1.9000000000000004
676,MOV-00788,B-014,ZIMDELTA,R-02,MUELLEB,TRIGO,MONTEVIDEO,2024-06-19,1900-01-01 06:10:00,2024-06-20,1900-01-01 16:32:00,,14.7,10,EN_REVISION,1 days 10:22:00,4.699999999999999,4.199999999999999
680,MOV-00795,B-016,PILOESTE,R-05,MUELLEF,GRANOS,BUENOS AIRES,2021-03-17,1900-01-01 15:58:00,2021-03-20,1900-01-01 00:00:00,5141.19,14.4,12,PENDIENTE,2 days 08:02:00,2.4000000000000004,1.799999999999999
685,MOV-00801,B-012,CMALITORAL,,MUELLED,MAIZ,ROTTERDAM,2022-01-21,1900-01-01 00:16:00,2022-01-23,1900-01-01 03:38:00,6169.43,15.2,12,RECHAZADO,2 days 03:22:00,3.1999999999999993,2.599999999999998
687,MOV-00803,B-013,EVERGREEN02,R-05,MUELLEA,GRANOS,VALPARAISO,2022-07-15,1900-01-01 19:51:00,2022-07-16,1900-01-01 02:08:00,6942.07,13.2,12,DESPACHADO,0 days 06:17:00,1.1999999999999993,0.5999999999999979
693,MOV-00810,B-029,HAPAGRIO,R-02,MUELLED,HARINA,MONTEVIDEO,2022-04-14,1900-01-01 14:34:00,2022-04-15,1900-01-01 12:28:00,,11.4,10,PENDIENTE,0 days 21:54:00,1.4000000000000004,0.9000000000000004
694,MOV-00811,B-020,ZIMNORTE,R-06,MUELLEA,MAIZ,MONTEVIDEO,2020-08-05,1900-01-01 00:00:00,2020-08-07,1900-01-01 00:40:00,3442.13,14.2,10,DESPACHADO,2 days 00:40:00,4.199999999999999,3.6999999999999993
701,MOV-00819,B-023,HAPAGSUR,R-08,MUELLEB,ACEITE,BUENOS AIRES,2021-02-20,1900-01-01 07:41:00,2021-02-23,1900-01-01 22:15:00,4874.48,11.1,10,EN_REVISION,3 days 14:34:00,1.0999999999999996,0.5999999999999996
704,MOV-00822,B-006,PILOESTE,R-04,MUELLEC,GRANOS,SANTA FE,2020-08-12,1900-01-01 15:22:00,2020-08-15,1900-01-01 06:01:00,5837.64,13.7,12,DESPACHADO,2 days 14:39:00,1.6999999999999993,1.0999999999999979
707,MOV-00825,B-024,ONEPARANA,R-05,MUELLEC,SOJA,SHANGHAI,2022-01-26,1900-01-01 07:23:00,2022-01-27,1900-01-01 23:29:00,4125.54,16.2,15,RECHAZADO,1 days 16:06:00,1.1999999999999993,0.4499999999999993
711,MOV-00830,B-032,PILOESTE,R-02,MUELLEA,ACEITE,SANTA FE,2022-05-08,1900-01-01 00:01:00,2022-05-10,1900-01-01 00:11:00,6161.38,12.8,10,DESPACHADO,2 days 00:10:00,2.8000000000000007,2.3000000000000007
714,MOV-00833,B-013,ZIMDELTA,R-06,MUELLED,TRIGO,ROTTERDAM,2020-04-26,1900-01-01 23:02:00,2020-04-27,1900-01-01 15:09:00,5196.71,10.8,10,PENDIENTE,0 days 16:07:00,0.8000000000000007,0.3000000000000007
716,MOV-00836,B-007,COSCOTIGRE,R-08,MUELLED,MINERALES,BUENOS AIRES,2023-09-09,1900-01-01 00:00:00,2023-09-10,1900-01-01 16:33:00,2598.84,12.8,10,RECHAZADO,1 days 16:33:00,2.8000000000000007,2.3000000000000007
717,MOV-00837,B-033,MSCGENOVA,R-04,MUELLED,CONTENEDORES,BUENOS AIRES,1900-01-01,1900-01-01 20:38:00,2023-02-04,1900-01-01 10:26:00,6061.36,11.8,10,RECHAZADO,,1.8000000000000007,1.3000000000000007
723,MOV-00847,B-030,EVERGLORY,R-07,MUELLEB,MINERALES,MONTEVIDEO,2021-05-27,1900-01-01 12:06:00,2021-05-28,1900-01-01 07:35:00,4308.5,13.0,12,DESPACHADO,0 days 19:29:00,1.0,0.3999999999999986
724,MOV-00848,B-011,MSCGENOVA,R-01,MUELLED,TRIGO,BUENOS AIRES,2023-06-20,1900-01-01 19:21:00,2023-06-21,1900-01-01 19:33:00,5126.51,17.3,10,RECHAZADO,1 days 00:12:00,7.300000000000001,6.800000000000001
725,MOV-00851,B-029,ONEPARANA,R-03,MUELLEE,SOJA,ROTTERDAM,2024-02-06,1900-01-01 16:31:00,2024-02-08,1900-01-01 10:35:00,4802.02,10.9,10,PENDIENTE,1 days 18:04:00,0.9000000000000004,0.40000000000000036
727,MOV-00856,B-027,YANGESTE,R-08,MUELLEB,CONTENEDORES,SHANGHAI,2022-07-17,1900-01-01 13:31:00,2022-07-18,1900-01-01 21:33:00,4544.43,12.9,10,EN_REVISION,1 days 08:02:00,2.9000000000000004,2.4000000000000004
728,MOV-00857,B-002,EVERGREEN02,R-06,MUELLED,TRIGO,HAMBURG,2022-09-05,1900-01-01 23:18:00,2022-09-06,1900-01-01 16:58:00,5778.16,17.5,15,DESPACHADO,0 days 17:40:00,2.5,1.75
731,MOV-00861,B-032,MAERSKLIMA,R-02,MUELLEC,CONTENEDORES,SHANGHAI,2023-06-23,1900-01-01 17:42:00,2023-06-24,1900-01-01 23:46:00,3787.41,15.9,15,RECHAZADO,1 days 06:04:00,0.9000000000000004,0.15000000000000036
735,MOV-00865,B-013,COSCOTIGRE,R-01,MUELLEA,CONTENEDORES,SAO PAULO,2024-01-21,1900-01-01 17:16:00,2024-01-23,1900-01-01 15:44:00,4658.49,13.1,10,EN_REVISION,1 days 22:28:00,3.0999999999999996,2.5999999999999996
739,MOV-00870,B-035,ONEPARANA,R-01,MUELLEE,TRIGO,VALPARAISO,2021-08-25,1900-01-01 00:24:00,2021-08-27,1900-01-01 23:28:00,4677.89,16.2,10,PENDIENTE,2 days 23:04:00,6.199999999999999,5.699999999999999
741,MOV-00872,B-001,ZIMDELTA,R-07,MUELLEE,CONTENEDORES,VALPARAISO,2022-04-09,1900-01-01 10:02:00,1900-01-01,1900-01-01 20:53:00,5409.17,15.9,12,EN_REVISION,,3.9000000000000004,3.299999999999999
744,MOV-00877,B-034,COSCOTIGRE,R-08,MUELLEA,TRIGO,ROTTERDAM,2024-03-10,1900-01-01 13:13:00,2024-03-12,1900-01-01 05:44:00,4663.82,12.5,10,EN_REVISION,1 days 16:31:00,2.5,2.0
748,MOV-00881,B-001,EVERGLORY,R-05,MUELLED,GRANOS,BUENOS AIRES,2023-04-12,1900-01-01 21:23:00,2023-04-15,1900-01-01 03:51:00,5837.64,12.8,12,DESPACHADO,2 days 06:28:00,0.8000000000000007,0.1999999999999993
752,MOV-00885,B-024,COSCOSTAR,R-04,MUELLEA,MAIZ,SHANGHAI,2024-04-30,1900-01-01 10:34:00,2024-05-01,1900-01-01 20:14:00,5864.55,18.1,12,EN_REVISION,1 days 09:40:00,6.100000000000001,5.5
753,MOV-00886,B-011,ZIMNORTE,R-07,MUELLEC,ACEITE,BUENOS AIRES,2021-03-16,1900-01-01 17:13:00,2021-03-17,1900-01-01 00:38:00,3040.12,13.2,10,RECHAZADO,0 days 07:25:00,3.1999999999999993,2.6999999999999993
758,MOV-00892,B-012,PILSANTA,R-01,MUELLED,ACEITE,VALPARAISO,1900-01-01,1900-01-01 19:21:00,2023-11-20,1900-01-01 19:54:00,4747.34,19.4,12,RECHAZADO,,7.399999999999999,6.799999999999997
760,MOV-00894,B-029,COSCOSTAR,R-01,MUELLEB,GRANOS,SAO PAULO,2024-10-20,1900-01-01 16:37:00,2024-10-22,1900-01-01 02:17:00,6387.41,15.3,12,EN_REVISION,1 days 09:40:00,3.3000000000000007,2.6999999999999993
761,MOV-00895,B-027,HAPAGSUR,R-04,MUELLEF,GRANOS,SHANGHAI,2020-01-17,1900-01-01 17:16:00,2020-01-20,1900-01-01 00:00:00,6363.93,15.5,12,PENDIENTE,2 days 06:44:00,3.5,2.8999999999999986
764,MOV-00898,B-008,YANGESTE,R-08,MUELLED,HARINA,SHANGHAI,2020-05-27,1900-01-01 11:49:00,2020-05-29,1900-01-01 10:41:00,4860.03,15.0,12,PENDIENTE,1 days 22:52:00,3.0,2.3999999999999986
777,MOV-00912,B-024,ONEPARANA,R-03,MUELLEC,ACEITE,VALPARAISO,2024-06-20,1900-01-01 00:00:00,2024-06-22,1900-01-01 13:38:00,5513.86,11.3,10,EN_REVISION,2 days 13:38:00,1.3000000000000007,0.8000000000000007
778,MOV-00914,B-031,MAERSKPAMPAS,R-02,MUELLEE,TRIGO,HAMBURG,2022-09-16,1900-01-01 13:41:00,2022-09-19,1900-01-01 15:42:00,6005.7,15.2,10,RECHAZADO,3 days 02:01:00,5.199999999999999,4.699999999999999
779,MOV-00915,B-020,MSCALPHA,R-07,MUELLEC,CONTENEDORES,HAMBURG,1900-01-01,1900-01-01 10:45:00,2020-03-17,1900-01-01 05:08:00,6279.19,14.6,12,EN_REVISION,,2.5999999999999996,1.9999999999999982
782,MOV-00920,B-015,COSCOSTAR,R-08,MUELLEB,GRANOS,SAO PAULO,2024-03-12,1900-01-01 23:46:00,2024-03-15,1900-01-01 15:28:00,5699.56,15.5,12,PENDIENTE,2 days 15:42:00,3.5,2.8999999999999986
786,MOV-00925,B-009,YANGESTE,R-05,MUELLEA,MAIZ,SHANGHAI,2024-05-27,1900-01-01 12:55:00,2024-05-29,1900-01-01 04:14:00,2737.29,12.6,10,PENDIENTE,1 days 15:19:00,2.5999999999999996,2.0999999999999996
787,MOV-00926,B-001,MSCALPHA,R-04,MUELLED,CONTENEDORES,VALPARAISO,2023-02-15,1900-01-01 13:35:00,2023-02-18,1900-01-01 03:09:00,3572.99,16.0,12,PENDIENTE,2 days 13:34:00,4.0,3.3999999999999986
793,MOV-00934,B-004,MSCGENOVA,R-01,MUELLEE,HARINA,SANTA FE,2022-09-05,1900-01-01 13:08:00,2022-09-07,1900-01-01 02:36:00,4019.96,13.4,10,DESPACHADO,1 days 13:28:00,3.4000000000000004,2.9000000000000004
799,MOV-00941,B-017,COSCOSTAR,R-08,MUELLEA,ACEITE,HAMBURG,2022-06-04,1900-01-01 07:11:00,2022-06-07,1900-01-01 20:13:00,3160.82,17.7,12,EN_REVISION,3 days 13:02:00,5.699999999999999,5.099999999999998
801,MOV-00943,B-004,ONEPARANA,R-03,MUELLED,SOJA,SAO PAULO,2023-09-06,1900-01-01 03:24:00,2023-09-07,1900-01-01 03:04:00,,19.9,12,DESPACHADO,0 days 23:40:00,7.899999999999999,7.299999999999997
806,MOV-00949,B-025,CMAROSARIO,R-08,MUELLEF,TRIGO,SHANGHAI,2020-10-24,1900-01-01 10:09:00,2020-10-26,1900-01-01 00:00:00,2872.48,11.3,10,DESPACHADO,1 days 13:51:00,1.3000000000000007,0.8000000000000007
807,MOV-00950,B-003,PILSANTA,R-02,MUELLEE,MAIZ,SANTA FE,2023-12-24,1900-01-01 17:51:00,2023-12-25,1900-01-01 04:42:00,6103.83,13.3,10,EN_REVISION,0 days 10:51:00,3.3000000000000007,2.8000000000000007
809,MOV-00952,B-008,YANGESTE,R-04,MUELLEF,CONTENEDORES,SANTA FE,2024-11-23,1900-01-01 16:36:00,2024-11-24,1900-01-01 05:22:00,5807.37,13.2,10,RECHAZADO,0 days 12:46:00,3.1999999999999993,2.6999999999999993
813,MOV-00957,B-007,MSCGENOVA,R-01,MUELLED,MINERALES,SANTA FE,2023-09-01,1900-01-01 15:20:00,2023-09-03,1900-01-01 15:10:00,,14.5,10,DESPACHADO,1 days 23:50:00,4.5,4.0
817,MOV-00962,B-010,EVERGREEN02,R-06,MUELLEB,GRANOS,SHANGHAI,2020-01-15,1900-01-01 01:42:00,2020-01-15,1900-01-01 22:14:00,4463.38,10.7,10,DESPACHADO,0 days 20:32:00,0.6999999999999993,0.1999999999999993
824,MOV-00969,B-036,YANGMING,R-03,MUELLEB,TRIGO,SANTA FE,2020-03-06,1900-01-01 23:32:00,2020-03-07,1900-01-01 07:01:00,3904.63,11.2,10,DESPACHADO,0 days 07:29:00,1.1999999999999993,0.6999999999999993
827,MOV-00973,B-022,ZIMNORTE,R-01,MUELLEA,ACEITE,BUENOS AIRES,2024-08-27,1900-01-01 22:10:00,2024-08-30,1900-01-01 17:01:00,4444.08,12.9,12,RECHAZADO,2 days 18:51:00,0.9000000000000004,0.29999999999999893
834,MOV-00981,B-024,ONEPLATA,R-06,MUELLED,TRIGO,HAMBURG,2020-05-27,1900-01-01 12:30:00,2020-05-30,1900-01-01 09:53:00,1958.1,16.4,15,EN_REVISION,2 days 21:23:00,1.3999999999999986,0.6499999999999986
836,MOV-00983,B-022,MAERSKLIMA,R-05,MUELLEE,MINERALES,MONTEVIDEO,2020-09-19,1900-01-01 07:17:00,2020-09-22,1900-01-01 14:05:00,,11.4,10,EN_REVISION,3 days 06:48:00,1.4000000000000004,0.9000000000000004
840,MOV-00989,B-011,MAERSKPAMPAS,R-01,MUELLEC,HARINA,ROTTERDAM,2024-02-25,1900-01-01 08:31:00,2024-02-27,1900-01-01 10:35:00,3950.28,15.0,10,RECHAZADO,2 days 02:04:00,5.0,4.5
841,MOV-00990,B-031,HAPAGSUR,R-05,MUELLEA,MINERALES,SANTA FE,2024-05-07,1900-01-01 01:27:00,2024-05-07,1900-01-01 00:00:00,3814.45,13.7,12,EN_REVISION,,1.6999999999999993,1.0999999999999979
845,MOV-00994,B-037,HAPAGSUR,R-03,MUELLEF,TRIGO,MONTEVIDEO,2023-06-23,1900-01-01 15:23:00,2023-06-26,1900-01-01 08:37:00,8161.82,16.5,10,DESPACHADO,2 days 17:14:00,6.5,6.0
846,MOV-00995,B-017,HAPAGRIO,R-01,MUELLEC,SOJA,ROTTERDAM,2022-06-21,1900-01-01 09:02:00,2022-06-23,1900-01-01 06:05:00,6580.17,15.4,10,EN_REVISION,1 days 21:03:00,5.4,4.9
847,MOV-00996,B-001,ONEPLATA,R-06,MUELLEC,MINERALES,BUENOS AIRES,2022-12-02,1900-01-01 09:39:00,2022-12-04,1900-01-01 18:08:00,4444.96,16.2,12,RECHAZADO,2 days 08:29:00,4.199999999999999,3.599999999999998
848,MOV-00997,B-012,PILSANTA,R-06,MUELLEB,ACEITE,MONTEVIDEO,2020-07-04,1900-01-01 22:03:00,2020-07-07,1900-01-01 07:09:00,4951.59,10.6,10,RECHAZADO,2 days 09:06:00,0.5999999999999996,0.09999999999999964
849,MOV-00998,B-030,ONEPARANA,R-05,MUELLEF,GRANOS,SANTA FE,2020-11-13,1900-01-01 11:39:00,2020-11-16,1900-01-01 02:00:00,6421.14,16.8,12,PENDIENTE,2 days 14:21:00,4.800000000000001,4.199999999999999
850,MOV-00999,B-017,YANGESTE,R-05,MUELLED,HARINA,ROTTERDAM,2020-07-31,1900-01-01 15:46:00,2020-08-02,1900-01-01 13:21:00,4559.67,15.8,12,DESPACHADO,1 days 21:35:00,3.8000000000000007,3.1999999999999993
851,MOV-01000,B-034,YANGESTE,R-08,MUELLEE,MINERALES,HAMBURG,2024-12-14,1900-01-01 14:48:00,2024-12-16,1900-01-01 18:04:00,,14.6,12,EN_REVISION,2 days 03:16:00,2.5999999999999996,1.9999999999999982
853,MOV-01002,B-017,ONEPLATA,R-01,MUELLEC,TRIGO,BUENOS AIRES,2023-07-25,1900-01-01 09:15:00,2023-07-26,1900-01-01 00:49:00,6833.54,13.0,12,RECHAZADO,0 days 15:34:00,1.0,0.3999999999999986
854,MOV-01003,B-009,COSCOSTAR,R-04,MUELLEE,GRANOS,HAMBURG,2022-03-20,1900-01-01 13:04:00,2022-03-22,1900-01-01 00:00:00,3700.93,10.8,10,PENDIENTE,1 days 10:56:00,0.8000000000000007,0.3000000000000007
855,MOV-01004,B-034,ZIMNORTE,R-07,MUELLED,GRANOS,SHANGHAI,2022-12-13,1900-01-01 09:11:00,2022-12-16,1900-01-01 22:53:00,2908.46,16.3,15,EN_REVISION,3 days 13:42:00,1.3000000000000007,0.5500000000000007
857,MOV-01007,B-015,CMAROSARIO,R-03,MUELLEE,ACEITE,HAMBURG,2020-03-26,1900-01-01 23:09:00,2020-03-28,1900-01-01 05:48:00,4727.22,13.7,12,DESPACHADO,1 days 06:39:00,1.6999999999999993,1.0999999999999979
860,MOV-01010,B-015,ZIMDELTA,R-06,MUELLED,GRANOS,SHANGHAI,2022-01-19,1900-01-01 06:13:00,2022-01-21,1900-01-01 00:00:00,6744.39,13.1,10,DESPACHADO,1 days 17:47:00,3.0999999999999996,2.5999999999999996
865,MOV-01015,B-030,MAERSKPAMPAS,R-07,MUELLEA,MAIZ,HAMBURG,2020-11-04,1900-01-01 00:49:00,2020-11-05,1900-01-01 01:55:00,4842.18,13.5,10,PENDIENTE,1 days 01:06:00,3.5,3.0
866,MOV-01016,B-020,EVERGREEN02,R-03,MUELLEB,SOJA,BUENOS AIRES,2021-01-28,1900-01-01 10:25:00,2021-01-29,1900-01-01 01:51:00,4544.04,11.9,10,DESPACHADO,0 days 15:26:00,1.9000000000000004,1.4000000000000004
867,MOV-01017,B-040,MAERSKLIMA,R-08,MUELLEC,GRANOS,SHANGHAI,2020-02-16,1900-01-01 07:17:00,2020-02-17,1900-01-01 07:27:00,6464.22,15.1,10,DESPACHADO,1 days 00:10:00,5.1,4.6
872,MOV-01024,B-021,PILSANTA,R-06,MUELLEE,ACEITE,ROTTERDAM,2024-10-09,1900-01-01 02:05:00,2024-10-11,1900-01-01 00:00:00,5855.41,12.4,10,RECHAZADO,1 days 21:55:00,2.4000000000000004,1.9000000000000004
873,MOV-01025,B-015,ZIMNORTE,R-06,MUELLEF,GRANOS,SHANGHAI,2021-06-13,1900-01-01 00:49:00,2021-06-13,1900-01-01 07:51:00,7100.77,12.7,10,RECHAZADO,0 days 07:02:00,2.6999999999999993,2.1999999999999993
878,MOV-01030,B-032,PILOESTE,R-02,MUELLEA,CONTENEDORES,BUENOS AIRES,2022-02-20,1900-01-01 22:41:00,2022-02-21,1900-01-01 06:08:00,4619.32,14.9,12,DESPACHADO,0 days 07:27:00,2.9000000000000004,2.299999999999999
879,MOV-01032,B-035,MAERSKPAMPAS,R-06,MUELLEF,TRIGO,SAO PAULO,2024-04-01,1900-01-01 00:00:00,2024-04-02,1900-01-01 13:38:00,3807.48,12.8,12,EN_REVISION,1 days 13:38:00,0.8000000000000007,0.1999999999999993
884,MOV-01037,B-004,MSCGENOVA,R-05,MUELLEB,TRIGO,VALPARAISO,2021-02-08,1900-01-01 06:14:00,2021-02-09,1900-01-01 04:33:00,5368.34,15.1,12,DESPACHADO,0 days 22:19:00,3.0999999999999996,2.4999999999999982
885,MOV-01038,B-024,MAERSKLIMA,R-08,MUELLED,CONTENEDORES,SANTA FE,2021-09-21,1900-01-01 09:46:00,2021-09-22,1900-01-01 14:15:00,4343.42,17.5,12,RECHAZADO,1 days 04:29:00,5.5,4.899999999999999
889,MOV-01044,B-032,ONEPARANA,R-04,MUELLEE,MINERALES,SANTA FE,2023-09-12,1900-01-01 10:24:00,2023-09-14,1900-01-01 07:20:00,6958.44,17.3,10,EN_REVISION,1 days 20:56:00,7.300000000000001,6.800000000000001
890,MOV-01045,B-021,YANGESTE,R-04,MUELLEE,GRANOS,ROTTERDAM,2020-04-02,1900-01-01 16:55:00,2020-04-04,1900-01-01 15:08:00,4991.95,11.0,10,PENDIENTE,1 days 22:13:00,1.0,0.5
896,MOV-01053,B-028,MSCGENOVA,R-02,MUELLED,HARINA,BUENOS AIRES,2024-09-15,1900-01-01 01:56:00,2024-09-15,1900-01-01 09:08:00,,17.0,12,DESPACHADO,0 days 07:12:00,5.0,4.399999999999999
